,Year,Month,CPI
252,2002,10,2.0
253,2002,9,1.5
254,2002,8,1.8
255,2002,7,1.5
256,2002,6,1.1
257,2002,5,1.2
258,2002,4,1.6
259,2002,3,1.5
260,2002,2,1.1
261,2002,1,1.1
262,2001,12,1.6
263,2001,11,1.9
264,2001,10,2.1
265,2001,9,2.6
266,2001,8,2.7
267,2001,7,2.7
268,2001,6,3.2
269,2001,5,3.6
270,2001,4,3.3
271,2001,3,2.9
272,2001,2,3.5
273,2001,1,3.7
274,2000,12,3.4
275,2000,11,3.4
276,2000,10,3.4
277,2000,9,3.5
278,2000,8,3.4
279,2000,7,3.7
280,2000,6,3.7
281,2000,5,3.2
282,2000,4,3.1
283,2000,3,3.8
284,2000,2,3.2
285,2000,1,2.7
