,Year,Month,CPI
227,2004,10,3.2
228,2004,9,2.5
229,2004,8,2.7
230,2004,7,3.0
231,2004,6,3.3
232,2004,5,3.1
233,2004,4,2.3
234,2004,3,1.7
235,2004,2,1.7
236,2004,1,1.9
237,2003,12,1.9
238,2003,11,1.8
239,2003,10,2.0
240,2003,9,2.3
241,2003,8,2.2
242,2003,7,2.1
243,2003,6,2.1
244,2003,5,2.1
245,2003,4,2.2
246,2003,3,3.0
247,2003,2,3.0
248,2003,1,2.6
249,2002,12,2.4
250,2002,11,2.2
251,2002,10,2.0
252,2002,9,1.5
253,2002,8,1.8
254,2002,7,1.5
255,2002,6,1.1
256,2002,5,1.2
257,2002,4,1.6
258,2002,3,1.5
259,2002,2,1.1
260,2002,1,1.1
261,2001,12,1.6
262,2001,11,1.9
263,2001,10,2.1
264,2001,9,2.6
265,2001,8,2.7
266,2001,7,2.7
267,2001,6,3.2
268,2001,5,3.6
269,2001,4,3.3
270,2001,3,2.9
271,2001,2,3.5
272,2001,1,3.7
273,2000,12,3.4
274,2000,11,3.4
275,2000,10,3.4
276,2000,9,3.5
277,2000,8,3.4
278,2000,7,3.7
279,2000,6,3.7
280,2000,5,3.2
281,2000,4,3.1
282,2000,3,3.8
283,2000,2,3.2
284,2000,1,2.7
